cliente_id,zona_id,region,tipo_zona,poblacion_zona,edad,sexo,estado_civil,num_lineas,tipo_plan,tipo_dispositivo,ingreso_estimado,antiguedad_meses,descuento_activo
C000041,Z15,Oeste,suburbana,62939,20.0,M,Soltero/a,2,Premium,Gama media,4331.0,21.0,1
C000042,Z26,Oeste,urbana_premium,107159,28.0,M,Soltero/a,3,Premium,Gama media,3051.0,18.0,1
C000043,Z22,Este,suburbana,53534,22.0,M,Soltero/a,1,Premium,Gama media,1973.0,39.0,0
C000044,Z10,Este,suburbana,27514,20.0,M,Soltero/a,1,Premium,Gama media,1994.0,9.0,0
C000045,Z26,Oeste,urbana_premium,107159,37.0,M,Soltero/a,3,Premium,Gama media,3754.0,49.0,0
C000046,Z26,Oeste,urbana_premium,107159,43.0,F,desconocido,3,Contrato,Gama alta,7516.0,17.0,1
C000047,Z13,Este,suburbana,37333,45.0,F,Divorciado/a,2,Premium,Gama media,4332.0,62.0,0
C000048,Z09,Norte,urbana_premium,102625,43.0,M,Casado/a,2,Contrato,Gama alta,,54.0,0
C000049,Z22,Este,suburbana,53534,40.0,F,Soltero/a,2,Contrato,Gama media,2050.0,21.0,0
C000050,Z05,Este,urbana_premium,94471,33.0,F,Soltero/a,3,Premium,Gama alta,5619.0,25.0,0
C000051,Z07,Centro,rural,15473,32.0,F,Soltero/a,1,Prepago,Gama alta,3280.0,27.0,1
C000052,Z01,Centro,rural,16625,,F,Divorciado/a,1,Prepago,Gama alta,2583.0,52.0,0
C000053,Z26,Oeste,urbana_premium,107159,20.0,F,Soltero/a,2,Premium,Gama media,3069.0,56.0,1
C000054,Z21,Centro,rural,19103,35.0,F,Casado/a,1,Prepago,Gama baja,3263.0,89.0,0
C000055,Z22,Este,suburbana,53534,41.0,M,n/a,1,Contrato,Gama media,2351.0,14.0,1
C000056,Z26,Oeste,urbana_premium,107159,35.0,M,Soltero/a,3,Contrato,Gama media,4818.0,16.0,0
C000057,Z15,Oeste,suburbana,62939,77.0,F,Casado/a,1,Contrato,Gama media,2609.0,55.0,0
C000058,Z18,Sur,urbana_premium,56342,20.0,M,Soltero/a,2,Premium,Gama alta,2711.0,23.0,1
C000059,Z05,Este,urbana_premium,94471,34.0,M,Soltero/a,3,Premium,Gama media,3321.0,11.0,1
C000060,Z05,Este,urbana_premium,94471,19.0,M,Soltero/a,2,Premium,Gama alta,7622.0,19.0,0
C000061,Z21,Centro,rural,19103,40.0,M,Soltero/a,2,Prepago,Gama baja,1544.0,29.0,1
C000062,Z16,Este,urbana_premium,72683,32.0,M,Soltero/a,3,Premium,Gama alta,5416.0,88.0,0
C000063,Z18,Sur,urbana_premium,56342,46.0,F,Casado/a,5,Premium,Gama alta,5136.0,84.0,1
C000064,Z26,Oeste,urbana_premium,107159,,M,Soltero/a,2,Premium,Gama media,3588.0,53.0,0
C000065,Z20,Oeste,suburbana,46953,38.0,F,Divorciado/a,2,Premium,Gama media,2457.0,34.0,0
C000066,Z17,Sur,suburbana,56619,35.0,F,Casado/a,1,Prepago,Gama media,1926.0,19.0,0
C000067,Z17,Sur,suburbana,56619,23.0,F,Soltero/a,1,Premium,Gama alta,4680.0,81.0,0
C000068,Z09,Norte,urbana_premium,102625,28.0,M,Soltero/a,2,Prepago,Gama media,2524.0,17.0,0
C000069,Z02,Oeste,suburbana,46400,35.0,M,Soltero/a,2,Prepago,Gama baja,1123.0,56.0,0
C000070,Z15,Oeste,suburbana,62939,41.0,F,Soltero/a,2,Contrato,Gama media,3320.0,34.0,0
C000071,Z08,Sur,rural,17023,,F,Casado/a,3,Prepago,Gama baja,1447.0,16.0,0
C000072,Z14,Norte,rural,13074,42.0,M,Casado/a,1,Prepago,Gama media,2234.0,40.0,0
C000073,Z27,Norte,suburbana,42704,37.0,F,Casado/a,3,Contrato,Gama media,,36.0,1
C000074,Z09,Norte,urbana_premium,102625,18.0,F,Soltero/a,2,Premium,Gama media,3123.0,7.0,1
C000075,Z03,Sur,rural,16530,51.0,?,Soltero/a,2,Prepago,Gama media,2379.0,22.0,0
C000076,Z09,Norte,urbana_premium,102625,28.0,F,Soltero/a,3,Premium,Gama alta,4209.0,35.0,0
C000077,Z09,Norte,urbana_premium,102625,45.0,F,Casado/a,5,Premium,Gama alta,6115.0,33.0,0
C000078,Z21,Centro,rural,19103,61.0,F,Soltero/a,1,Prepago,Gama media,2323.0,15.0,0
C000079,Z99,Sur,suburbana,56619,38.0,M,Casado/a,4,Prepago,Gama media,3095.0,23.0,0
C000080,Z26,Oeste,urbana_premium,107159,24.0,M,Soltero/a,2,Premium,Gama media,3519.0,25.0,0
C000081,Z21,Centro,rural,19103,45.0,M,Casado/a,1,Prepago,Gama media,3208.0,20.0,0
C000082,Z14,Norte,rural,13074,49.0,M,Soltero/a,1,Premium,Gama baja,1563.0,83.0,1
C000083,Z26,Oeste,urbana_premium,107159,32.0,M,Soltero/a,3,Prepago,Gama alta,3284.0,68.0,0
C000084,Z05,Este,urbana_premium,94471,29.0,F,Soltero/a,2,Contrato,Gama media,3826.0,9.0,0
C000085,Z02,Oeste,suburbana,46400,47.0,F,Soltero/a,1,Prepago,Gama media,,26.0,0
C000086,Z04,Centro,suburbana,55457,46.0,M,Soltero/a,2,Prepago,Gama media,4859.0,,0
C000087,Z23,Norte,rural,20553,41.0,F,Soltero/a,2,Prepago,Gama media,2595.0,14.0,0
C000088,Z16,Este,urbana_premium,72683,18.0,M,Soltero/a,3,Contrato,Gama media,2492.0,25.0,0
C000089,Z05,Este,urbana_premium,94471,41.0,M,Soltero/a,3,Premium,Gama media,4416.0,24.0,0
C000090,Z16,Este,urbana_premium,72683,27.0,F,Soltero/a,2,Premium,Gama alta,6054.0,11.0,0
C000091,Z05,Este,urbana_premium,94471,39.0,F,Divorciado/a,3,Contrato,Gama baja,2975.0,27.0,0
C000092,Z22,Este,suburbana,53534,42.0,M,Casado/a,4,Prepago,Gama alta,4801.0,9.0,0
C000093,Z15,Oeste,suburbana,62939,18.0,F,Soltero/a,1,Premium,Gama alta,3261.0,39.0,1
C000094,Z13,Este,suburbana,37333,41.0,F,Divorciado/a,2,Prepago,Gama media,3199.0,28.0,0
C000095,Z09,Norte,urbana_premium,102625,42.0,F,Soltero/a,3,Premium,Gama alta,5822.0,37.0,0
C000096,Z20,Oeste,suburbana,46953,48.0,F,Divorciado/a,1,Premium,Gama media,3201.0,15.0,0
C000097,Z12,Norte,rural,11707,46.0,M,Casado/a,3,Premium,Gama alta,2661.0,18.0,0
C000098,Z04,Centro,suburbana,55457,18.0,M,Soltero/a,1,Premium,Gama media,3079.0,102.0,0
C000099,Z05,Este,urbana_premium,94471,51.0,F,Casado/a,2,Contrato,Gama media,2072.0,23.0,0
C000100,Z29,Oeste,urbana_premium,67334,41.0,F,Soltero/a,3,Contrato,Gama alta,4421.0,39.0,0
C000101,Z28,Sur,urbana_premium,64486,22.0,M,Soltero/a,2,Premium,Gama alta,4181.0,,0
C000102,Z22,Este,suburbana,53534,31.0,M,Soltero/a,2,Premium,Gama media,2610.0,26.0,0
C000103,Z09,Norte,urbana_premium,102625,39.0,M,Soltero/a,2,Premium,Gama media,1568.0,36.0,0
C000104,Z29,Oeste,urbana_premium,67334,44.0,M,Casado/a,3,Premium,Gama alta,4759.0,25.0,0
C000105,Z26,Oeste,urbana_premium,107159,30.0,M,Soltero/a,2,Premium,Gama alta,2832.0,35.0,0
C000106,Z23,Norte,rural,20553,55.0,F,Casado/a,2,Prepago,Gama media,,49.0,0
C000107,Z15,Oeste,suburbana,62939,18.0,M,Soltero/a,2,Prepago,Gama media,1944.0,22.0,0
C000108,Z09,Norte,urbana_premium,102625,23.0,F,Soltero/a,3,Premium,Gama alta,1928.0,77.0,0
C000109,Z04,Centro,suburbana,55457,18.0,M,Soltero/a,1,Premium,Gama alta,3504.0,37.0,0
C000110,Z28,Sur,urbana_premium,64486,25.0,M,Casado/a,3,Premium,Gama alta,8731.0,12.0,0
C000111,Z15,Oeste,suburbana,62939,58.0,F,Casado/a,2,Contrato,Gama media,2433.0,40.0,0
C000112,Z07,Centro,rural,15473,70.0,M,Casado/a,1,Prepago,Gama media,3094.0,54.0,0
C000113,Z10,Este,suburbana,27514,43.0,M,Soltero/a,2,Prepago,Gama media,2885.0,19.0,1
C000114,Z18,Sur,urbana_premium,56342,28.0,F,Soltero/a,3,Prepago,Gama alta,4215.0,32.0,0
C000115,Z05,Este,urbana_premium,94471,33.0,M,Soltero/a,2,Contrato,Gama media,3739.0,8.0,0
C000116,Z27,Norte,suburbana,42704,46.0,M,Soltero/a,2,Contrato,Gama alta,3920.0,30.0,0
C000117,Z26,Oeste,urbana_premium,107159,18.0,F,Soltero/a,2,Prepago,Gama baja,2508.0,18.0,0
C000118,Z23,Norte,rural,20553,38.0,M,Soltero/a,1,Premium,Gama media,2404.0,21.0,0
C000119,Z15,Oeste,suburbana,62939,57.0,F,Casado/a,4,Prepago,Gama media,4435.0,19.0,0
C000120,Z20,Oeste,suburbana,46953,27.0,M,Casado/a,1,Prepago,Gama media,3810.0,31.0,0
C000121,Z18,Sur,urbana_premium,56342,27.0,M,Soltero/a,3,Premium,Gama media,4291.0,94.0,0
C000122,Z20,Oeste,suburbana,46953,40.0,M,Soltero/a,2,Premium,Gama baja,3084.0,56.0,0
C000123,Z04,Centro,suburbana,55457,43.0,F,Casado/a,4,Contrato,Gama media,2627.0,,0
C000124,Z15,Oeste,suburbana,62939,32.0,M,Soltero/a,2,Contrato,Gama media,2635.0,55.0,1
C000125,Z02,Oeste,suburbana,46400,41.0,F,Soltero/a,1,Contrato,Gama media,1731.0,42.0,0
C000126,Z16,Este,urbana_premium,72683,43.0,F,Soltero/a,3,Prepago,Gama media,4565.0,20.0,0
C000127,Z11,Oeste,suburbana,41163,64.0,F,Casado/a,2,Premium,Gama media,4806.0,34.0,1
C000128,Z05,Este,urbana_premium,94471,34.0,M,Divorciado/a,2,Prepago,Gama media,4243.0,11.0,0
C000129,Z04,Centro,suburbana,55457,40.0,F,Casado/a,1,Premium,Gama media,2998.0,33.0,0
C000130,Z18,Sur,urbana_premium,56342,54.0,F,Soltero/a,3,Premium,Gama media,4721.0,40.0,0
C000131,Z05,Este,urbana_premium,94471,29.0,M,Soltero/a,2,Prepago,Gama media,1824.0,23.0,0
C000132,Z29,Oeste,urbana_premium,67334,20.0,F,Soltero/a,2,Prepago,Gama media,3205.0,24.0,1
C000133,Z18,Sur,urbana_premium,56342,39.0,M,Soltero/a,2,Premium,Gama media,3730.0,31.0,0
C000134,Z11,Oeste,suburbana,41163,53.0,F,Soltero/a,1,Premium,Gama baja,1640.0,41.0,0
C000135,Z18,Sur,urbana_premium,56342,40.0,F,Soltero/a,2,Premium,Gama media,4049.0,29.0,0
C000136,Z02,Oeste,suburbana,46400,,M,Soltero/a,2,Prepago,Gama baja,1560.0,60.0,0
C000137,Z29,Oeste,urbana_premium,67334,19.0,M,Soltero/a,3,Premium,Gama alta,4875.0,70.0,0
C000138,Z16,Este,urbana_premium,72683,35.0,F,Casado/a,4,Premium,Gama baja,,32.0,0
C000139,Z26,Oeste,urbana_premium,107159,51.0,F,Casado/a,4,Premium,Gama media,3580.0,20.0,0
C000140,Z04,Centro,suburbana,55457,25.0,F,Soltero/a,1,Premium,Gama media,3891.0,24.0,0
C000141,Z16,Este,urbana_premium,72683,33.0,M,Casado/a,3,Premium,Gama alta,4030.0,23.0,1
C000142,Z16,Este,urbana_premium,72683,31.0,F,Soltero/a,2,Premium,Gama alta,4521.0,30.0,1
C000143,Z29,Oeste,urbana_premium,67334,28.0,F,Soltero/a,2,Premium,Gama baja,4227.0,-48.0,0
C000144,Z18,Sur,urbana_premium,56342,39.0,F,Casado/a,2,Prepago,Gama media,,39.0,0
C000145,Z16,Este,urbana_premium,72683,41.0,M,Casado/a,3,Premium,Gama alta,6627.0,30.0,0
C000146,Z09,Norte,urbana_premium,102625,41.0,F,Casado/a,2,Premium,Gama alta,5920.0,60.0,0
C000147,Z11,Oeste,suburbana,41163,28.0,M,Soltero/a,2,Contrato,Gama media,3464.0,26.0,0
C000148,Z17,Sur,suburbana,56619,20.0,F,Soltero/a,2,Contrato,Gama media,3142.0,37.0,0
C000149,Z15,Oeste,suburbana,62939,43.0,M,Divorciado/a,1,Premium,Gama alta,3876.0,15.0,1
C000150,Z02,Oeste,suburbana,46400,34.0,F,Soltero/a,1,Premium,Gama media,4633.0,53.0,0
C000151,Z26,Oeste,urbana_premium,107159,58.0,M,Divorciado/a,3,Premium,Gama alta,7453.0,7.0,0
C000152,Z28,Sur,urbana_premium,64486,59.0,M,Soltero/a,2,Premium,Gama alta,3167.0,30.0,0
C000153,Z05,Este,urbana_premium,94471,60.0,M,Soltero/a,2,Premium,Gama alta,5519.0,38.0,0
C000154,Z17,Sur,suburbana,56619,29.0,F,Casado/a,2,Prepago,Gama alta,2891.0,31.0,0
C000155,Z05,Este,urbana_premium,94471,43.0,F,Casado/a,5,Premium,Gama media,2179.0,87.0,1
C000156,Z22,Este,suburbana,53534,50.0,F,Soltero/a,2,Premium,Gama alta,3997.0,26.0,0
C000157,Z09,Norte,urbana_premium,102625,45.0,F,Soltero/a,3,Premium,Gama alta,6397.0,-37.0,1
C000158,Z21,Centro,rural,19103,41.0,M,Casado/a,1,Prepago,Gama alta,3264.0,41.0,0
C000159,Z23,Norte,rural,20553,60.0,M,Casado/a,3,Prepago,Gama baja,2188.0,43.0,1
C000160,Z26,Oeste,urbana_premium,107159,36.0,M,Casado/a,5,Premium,Gama media,4384.0,31.0,1
C000161,Z05,Este,urbana_premium,94471,38.0,M,Casado/a,4,Premium,Gama media,4888.0,17.0,1
C000162,Z28,Sur,urbana_premium,64486,18.0,F,Soltero/a,2,Premium,Gama media,4678.0,,0
C000163,Z09,Norte,urbana_premium,102625,44.0,M,Soltero/a,3,Premium,Gama media,5887.0,25.0,0
C000164,Z02,Oeste,suburbana,46400,37.0,F,Soltero/a,1,Premium,Gama media,4147.0,48.0,0
C000165,Z17,Sur,suburbana,56619,46.0,F,Casado/a,3,Premium,Gama media,2434.0,21.0,0
C000166,Z13,Este,suburbana,37333,43.0,F,Casado/a,1,Premium,Gama media,3009.0,40.0,0
C000167,Z26,Oeste,urbana_premium,107159,38.0,M,Casado/a,5,Premium,Gama media,3208.0,77.0,0
C000168,Z26,Oeste,urbana_premium,107159,35.0,F,Casado/a,5,Contrato,Gama media,4050.0,15.0,1
C000169,Z10,Este,suburbana,27514,49.0,F,Casado/a,4,Contrato,Gama media,1550.0,36.0,0
C000170,Z29,Oeste,urbana_premium,67334,34.0,F,Soltero/a,3,Premium,Gama alta,7517.0,30.0,1
C000171,Z09,Norte,urbana_premium,102625,19.0,F,Soltero/a,3,Premium,Gama media,2914.0,45.0,0
C000172,Z16,Este,urbana_premium,72683,43.0,M,Divorciado/a,3,Premium,Gama media,3198.0,24.0,1
C000173,Z09,Norte,urbana_premium,102625,26.0,F,Casado/a,2,Premium,Gama media,3940.0,13.0,1
C000174,Z29,Oeste,urbana_premium,67334,20.0,F,Soltero/a,3,Prepago,Gama media,2363.0,20.0,0
C000175,Z05,Este,urbana_premium,94471,24.0,F,Soltero/a,3,Premium,Gama media,3404.0,46.0,0
C000176,Z02,Oeste,suburbana,46400,,F,Casado/a,1,Contrato,Gama alta,3162.0,23.0,0
C000177,Z15,Oeste,suburbana,62939,39.0,F,Soltero/a,2,Premium,Gama alta,5308.0,10.0,0
C000178,Z30,Centro,suburbana,33966,18.0,M,Soltero/a,2,Prepago,Gama media,3133.0,,0
C000179,Z28,Sur,urbana_premium,64486,31.0,M,Soltero/a,3,Premium,Gama alta,3321.0,20.0,0
C000180,Z25,Oeste,rural,11763,59.0,F,Casado/a,2,Prepago,Gama media,1566.0,20.0,0
C000181,Z28,Sur,urbana_premium,64486,31.0,F,Soltero/a,2,Prepago,Gama alta,8090.0,29.0,1
C000182,Z28,Sur,urbana_premium,64486,34.0,F,Soltero/a,2,Premium,Gama alta,3932.0,74.0,1
C000183,Z17,Sur,suburbana,56619,53.0,M,Casado/a,4,Prepago,Gama media,3068.0,10.0,0
C000184,Z10,Este,suburbana,27514,50.0,F,Casado/a,2,Contrato,Gama media,1845.0,24.0,0
C000185,Z26,Oeste,urbana_premium,107159,48.0,F,Soltero/a,2,Premium,Gama alta,4599.0,54.0,0
C000186,Z21,Centro,rural,19103,18.0,F,Soltero/a,2,Premium,Gama media,1890.0,,0
C000187,Z13,Este,suburbana,37333,61.0,M,Soltero/a,2,Premium,Gama media,4989.0,60.0,0
C000188,Z04,Centro,suburbana,55457,48.0,M,Divorciado/a,1,Contrato,Gama media,3507.0,12.0,0
C000189,Z25,Oeste,rural,11763,75.0,F,Casado/a,3,Premium,Gama media,2425.0,28.0,0
C000190,Z09,Norte,urbana_premium,102625,27.0,F,Soltero/a,3,Premium,Gama media,2409.0,27.0,0
C000191,Z29,Oeste,urbana_premium,67334,18.0,M,Soltero/a,3,Premium,Gama alta,3698.0,18.0,0
C000192,Z09,Norte,urbana_premium,102625,36.0,F,Divorciado/a,2,Premium,Gama media,3552.0,28.0,1
C000193,Z05,Este,urbana_premium,94471,33.0,M,Soltero/a,2,Contrato,Gama alta,3996.0,16.0,0
C000194,Z26,Oeste,urbana_premium,107159,44.0,M,Divorciado/a,2,Premium,Gama media,1921.0,24.0,1
C000195,Z05,Este,urbana_premium,94471,49.0,M,Casado/a,5,Premium,Gama media,2784.0,120.0,0
C000196,Z05,Este,urbana_premium,94471,35.0,M,Soltero/a,3,Premium,Gama media,3218.0,23.0,0
C000197,Z18,Sur,urbana_premium,56342,33.0,F,Soltero/a,3,Prepago,Gama baja,4560.0,38.0,0
C000198,Z28,Sur,urbana_premium,64486,42.0,M,Soltero/a,2,Premium,Gama media,1948.0,19.0,0
C000199,Z06,Sur,rural,19752,42.0,F,Casado/a,1,Premium,Gama media,3765.0,19.0,0
C000200,Z10,Este,suburbana,27514,36.0,M,Casado/a,3,Prepago,Gama media,4604.0,17.0,0
C000201,Z26,Oeste,urbana_premium,107159,48.0,M,Casado/a,4,Premium,Gama alta,2703.0,27.0,0
C000202,Z29,Oeste,urbana_premium,67334,51.0,M,Casado/a,3,Prepago,Gama alta,9083.0,32.0,0
C000203,Z16,Este,urbana_premium,72683,49.0,M,Soltero/a,3,Premium,Gama alta,4161.0,41.0,0
C000204,Z05,Este,urbana_premium,94471,34.0,F,Divorciado/a,2,Premium,Gama media,3684.0,32.0,0
C000205,Z02,Oeste,suburbana,46400,18.0,F,Soltero/a,2,Premium,Gama media,3670.0,9.0,0
C000206,Z09,Norte,urbana_premium,102625,34.0,F,Soltero/a,2,Contrato,Gama media,4431.0,52.0,0
C000207,Z05,Este,urbana_premium,94471,27.0,?,Soltero/a,3,Premium,Gama baja,3988.0,10.0,0
C000208,Z22,Este,suburbana,53534,38.0,F,Casado/a,2,Premium,Gama media,2039.0,50.0,0
C000209,Z05,Este,urbana_premium,94471,,F,Soltero/a,3,Prepago,Gama media,3285.0,29.0,0
C000210,Z16,Este,urbana_premium,72683,36.0,F,Soltero/a,2,Premium,Gama alta,4338.0,44.0,0
C000211,Z22,Este,suburbana,53534,28.0,F,Casado/a,3,Contrato,Gama media,3992.0,63.0,0
C000212,Z18,Sur,urbana_premium,56342,21.0,M,Soltero/a,2,Premium,Gama alta,6335.0,66.0,1
C000213,Z07,Centro,rural,15473,60.0,M,Casado/a,2,Contrato,Gama media,1978.0,28.0,0
C000214,Z26,Oeste,urbana_premium,107159,24.0,F,Soltero/a,2,Prepago,Gama media,3935.0,43.0,0
C000215,Z23,Norte,rural,20553,,F,Soltero/a,2,Contrato,Gama baja,1843.0,25.0,0
C000216,Z24,Centro,rural,12558,56.0,M,Soltero/a,2,Contrato,Gama media,3404.0,25.0,0
C000217,Z05,Este,urbana_premium,94471,47.0,F,Divorciado/a,3,Prepago,Gama media,3432.0,22.0,0
C000218,Z05,Este,urbana_premium,94471,46.0,M,Casado/a,2,Prepago,Gama media,,52.0,0
C000219,Z29,Oeste,urbana_premium,67334,40.0,F,Casado/a,4,Premium,Gama alta,3912.0,48.0,0
C000220,Z13,Este,suburbana,37333,49.0,F,Soltero/a,2,Premium,Gama baja,1660.0,51.0,0
C000221,Z09,Norte,urbana_premium,102625,52.0,M,Casado/a,2,Premium,Gama media,4626.0,25.0,1
C000222,Z16,Este,urbana_premium,72683,41.0,F,Divorciado/a,3,Premium,Gama alta,3434.0,52.0,1
C000223,Z21,Centro,rural,19103,23.0,F,Soltero/a,1,Premium,Gama media,6116.0,53.0,0
C000224,Z29,Oeste,urbana_premium,67334,30.0,F,Soltero/a,2,Premium,Gama media,3083.0,15.0,0
C000225,Z09,Norte,urbana_premium,102625,44.0,F,Casado/a,3,Prepago,Gama alta,3486.0,85.0,0
C000226,Z29,Oeste,urbana_premium,67334,28.0,F,Casado/a,4,Premium,Gama alta,5465.0,28.0,0
C000227,Z02,Oeste,suburbana,46400,59.0,F,Soltero/a,1,Premium,Gama media,3919.0,42.0,0
C000228,Z17,Sur,suburbana,56619,39.0,F,Soltero/a,2,Premium,Gama baja,4284.0,24.0,1
C000229,Z20,Oeste,suburbana,46953,41.0,M,Casado/a,1,Prepago,Gama media,2703.0,,0
C000230,Z04,Centro,suburbana,55457,53.0,M,Casado/a,3,Contrato,Gama baja,1995.0,62.0,0
C000231,Z05,Este,urbana_premium,94471,34.0,M,Casado/a,5,Premium,Gama alta,9739.0,15.0,1
C000232,Z15,Oeste,suburbana,62939,42.0,M,Soltero/a,2,Contrato,Gama media,3571.0,35.0,0
C000233,Z29,Oeste,urbana_premium,67334,47.0,F,Casado/a,5,Premium,Gama alta,4142.0,27.0,0
C000234,Z18,Sur,urbana_premium,56342,18.0,F,Soltero/a,3,Prepago,Gama alta,5075.0,6.0,1
C000235,Z29,Oeste,urbana_premium,67334,33.0,F,Soltero/a,2,Prepago,Gama media,2426.0,-43.0,0
C000236,Z26,Oeste,urbana_premium,107159,46.0,M,Soltero/a,3,Prepago,Gama media,3262.0,,0
C000237,Z16,Este,urbana_premium,72683,37.0,NA,Soltero/a,2,Premium,Gama media,2657.0,35.0,1
C000238,Z26,Oeste,urbana_premium,107159,54.0,F,Divorciado/a,2,Contrato,Gama alta,4058.0,49.0,0
C000239,Z02,Oeste,suburbana,46400,21.0,M,n/a,2,Contrato,Gama media,1840.0,22.0,0
C000240,Z05,Este,urbana_premium,94471,18.0,F,Soltero/a,2,Contrato,Gama media,4846.0,21.0,1
C000241,Z26,Oeste,urbana_premium,107159,45.0,M,Soltero/a,2,Premium,Gama alta,5792.0,61.0,1
C000242,Z26,Oeste,urbana_premium,107159,46.0,F,Soltero/a,2,Premium,Gama media,5718.0,23.0,1
C000243,Z99,Norte,urbana_premium,102625,34.0,M,Soltero/a,3,Premium,Gama alta,4466.0,60.0,0
C000244,Z17,Sur,suburbana,56619,,F,Divorciado/a,1,Prepago,Gama media,3188.0,76.0,0
C000245,Z18,Sur,urbana_premium,56342,45.0,F,Casado/a,5,Prepago,Gama media,3307.0,26.0,0
C000246,Z27,Norte,suburbana,42704,,F,Soltero/a,2,Premium,Gama alta,3488.0,50.0,1
