cliente_id,tipo_zona,Suma de churn,Avg Satisfaccion,tipo_plan,Promedio de ingreso_estimado,Promedio de importe_total,Promedio de antiguedad_meses
C000028,suburbana,0,33.793103448275865,Premium,"25910,00","33099,03","660,00"
C000029,urbana_premium,1,36.2962962962963,Prepago,"35550,00","6767,88","260,00"
C000030,suburbana,1,27.77777777777778,Contrato,"19850,00","15190,23","90,00"
C000031,rural,1,35,Contrato,"22710,00","3891,40","280,00"
C000032,urbana_premium,0,35,Premium,"25250,00","30220,76","-870,00"
C000033,suburbana,0,34.375,Prepago,"43600,00","2798,53",
C000034,suburbana,0,32.95454545454545,Prepago,"25730,00","4657,76","650,00"
C000035,urbana_premium,0,34.61538461538461,Premium,"25230,00","11889,43","340,00"
C000036,rural,0,34.130434782608695,Contrato,"35650,00","14615,40","660,00"
C000037,urbana_premium,0,36.666666666666664,Premium,"24230,00","11439,06","270,00"
C000038,urbana_premium,0,34.44444444444444,Premium,"41850,00","18603,71","250,00"
C000039,urbana_premium,0,33.5,Premium,"22740,00","12794,68","90,00"
C000040,rural,0,33.39622641509434,Premium,"25720,00","16187,79",
C000041,suburbana,0,35.88235294117647,Premium,"43310,00","13989,78","210,00"
C000042,urbana_premium,0,34.516129032258064,Premium,"30510,00","16970,22","180,00"
C000043,suburbana,0,34.642857142857146,Premium,"19730,00","7746,49","390,00"
C000044,suburbana,1,37.27272727272727,Premium,"19940,00","8117,00","90,00"
C000045,urbana_premium,0,37.5,Premium,"37540,00","20577,41","490,00"
C000046,urbana_premium,0,31,Contrato,"75160,00","11228,56","170,00"
C000047,suburbana,0,35,Premium,"43320,00","15167,59","620,00"
C000048,urbana_premium,0,31.05263157894737,Contrato,,"9930,94","540,00"
C000049,suburbana,0,34,Contrato,"20500,00","7938,51","210,00"
C000050,urbana_premium,0,36.55172413793103,Premium,"56190,00","17888,43","250,00"
C000051,rural,0,32.15686274509804,Prepago,"32800,00","1785,47","270,00"
C000052,rural,0,33.92857142857143,Prepago,"25830,00","2467,41","520,00"
C000053,urbana_premium,0,39.583333333333336,Premium,"30690,00","11012,81","560,00"
C000054,rural,0,33.91304347826087,Prepago,"32630,00","2090,58","890,00"
C000055,suburbana,1,34.32432432432432,Contrato,"23510,00","3916,06","140,00"
C000056,urbana_premium,0,38,Contrato,"48180,00","10901,64","160,00"
C000057,suburbana,1,34.09090909090909,Contrato,"26090,00","5495,04","550,00"
C000058,urbana_premium,0,35.714285714285715,Premium,"27110,00","10392,19","230,00"
C000059,urbana_premium,0,34.0625,Premium,"33210,00","13866,61","110,00"
C000060,urbana_premium,0,34.705882352941174,Premium,"76220,00","14589,83","190,00"
C000061,rural,0,33.46938775510204,Prepago,"15440,00","3302,00","290,00"
C000062,urbana_premium,0,38.333333333333336,Premium,"54160,00","21753,89","880,00"
C000063,urbana_premium,0,35,Premium,"51360,00","26222,41","840,00"
C000064,urbana_premium,0,35,Premium,"35880,00","8914,87","530,00"
C000065,suburbana,1,27.058823529411764,Premium,"24570,00","15978,64","340,00"
C000066,suburbana,1,34.61538461538461,Prepago,"19260,00","2814,24","190,00"
C000067,suburbana,0,32.72727272727273,Premium,"46800,00","8081,03","810,00"
C000068,urbana_premium,0,38.125,Prepago,"25240,00","5345,97","170,00"
C000069,suburbana,1,32.94117647058823,Prepago,"11230,00","3804,19","560,00"
C000070,suburbana,0,33.95348837209303,Contrato,"33200,00","9150,57","340,00"
C000071,rural,1,35,Prepago,"14470,00","4332,43","160,00"
C000072,rural,1,35,Prepago,"22340,00","2254,94","400,00"
C000073,suburbana,0,36.666666666666664,Contrato,,"8472,94","360,00"
C000074,urbana_premium,0,34.48275862068966,Premium,"31230,00","14908,66","70,00"
C000075,rural,0,35.43859649122807,Prepago,"23790,00","3786,06","220,00"
C000076,urbana_premium,1,38.333333333333336,Premium,"42090,00","19427,00","350,00"
C000077,urbana_premium,0,32.333333333333336,Premium,"61150,00","29051,97","330,00"
C000078,rural,1,34.827586206896555,Prepago,"23230,00","1946,83","150,00"
C000079,suburbana,0,36.875,Prepago,"30950,00","8466,57","230,00"
C000080,urbana_premium,0,37.22222222222222,Premium,"35190,00","14349,06","250,00"
C000081,rural,1,35.45454545454545,Prepago,"32080,00","1760,20","200,00"
C000082,rural,0,33.87755102040816,Premium,"15630,00","6678,75","830,00"
C000083,urbana_premium,0,34.333333333333336,Prepago,"32840,00","6129,14","680,00"
C000084,urbana_premium,0,35.45454545454545,Contrato,"38260,00","9640,89","90,00"
C000085,suburbana,0,35.78947368421053,Prepago,,"2058,83","260,00"
C000086,suburbana,0,32.1875,Prepago,"48590,00","3556,35",
C000087,rural,0,33.166666666666664,Prepago,"25950,00","4138,08","140,00"
C000088,urbana_premium,0,35.26315789473684,Contrato,"24920,00","10669,80","250,00"
C000089,urbana_premium,1,34.285714285714285,Premium,"44160,00","25308,86","240,00"
C000090,urbana_premium,0,34.78260869565217,Premium,"60540,00","15874,83","110,00"
C000091,urbana_premium,0,37.083333333333336,Contrato,"29750,00","12579,09","270,00"
C000092,suburbana,0,34.523809523809526,Prepago,"48010,00","9598,11","90,00"
C000093,suburbana,0,35.55555555555556,Premium,"32610,00","6394,34","390,00"
C000094,suburbana,0,32.55813953488372,Prepago,"31990,00","4275,64","280,00"
C000095,urbana_premium,0,33.333333333333336,Premium,"58220,00","18310,50","370,00"
C000096,suburbana,0,33.55555555555556,Premium,"32010,00","7977,41","150,00"
C000097,rural,0,31.58730158730159,Premium,"26610,00","19026,92","180,00"
C000098,suburbana,0,33.25581395348837,Premium,"30790,00","6073,44","1020,00"
C000099,urbana_premium,1,30.90909090909091,Contrato,"20720,00","9245,28","230,00"
C000100,urbana_premium,0,32.06896551724138,Contrato,"44210,00","13241,69","390,00"
C000101,urbana_premium,0,38.46153846153846,Premium,"41810,00","15735,81",
C000102,suburbana,1,32.857142857142854,Premium,"26100,00","12032,14","260,00"
C000103,urbana_premium,0,36,Premium,"15680,00","13323,29","360,00"
C000104,urbana_premium,0,35,Premium,"47590,00","23400,58","250,00"
C000105,urbana_premium,0,34.285714285714285,Premium,"28320,00","15719,88","350,00"
C000106,rural,1,32.142857142857146,Prepago,,"4024,25","490,00"
C000107,suburbana,1,40,Prepago,"19440,00","3866,00","220,00"
C000108,urbana_premium,1,36.92307692307692,Premium,"19280,00","20491,50","770,00"
C000109,suburbana,0,36.31578947368421,Premium,"35040,00","7195,91","370,00"
C000110,urbana_premium,0,36.666666666666664,Premium,"87310,00","17441,42","120,00"
C000111,suburbana,0,35.483870967741936,Contrato,"24330,00","9574,00","400,00"
C000112,rural,1,33.94736842105263,Prepago,"30940,00","1797,09","540,00"
C000113,suburbana,0,36.57142857142857,Prepago,"28850,00","3276,43","190,00"
C000114,urbana_premium,0,36.07142857142857,Prepago,"42150,00","4907,51","320,00"
C000115,urbana_premium,0,37.57575757575758,Contrato,"37390,00","9182,11","80,00"
C000116,suburbana,0,34.73684210526316,Contrato,"39200,00","7523,54","300,00"
C000117,urbana_premium,1,38.57142857142857,Prepago,"25080,00","5919,00","180,00"
C000118,rural,0,28.22222222222222,Premium,"24040,00","7124,00","210,00"
C000119,suburbana,0,31.627906976744185,Prepago,"44350,00","3956,11","190,00"
C000120,suburbana,0,33.40909090909091,Prepago,"38100,00","2762,00","310,00"
C000121,urbana_premium,0,35,Premium,"42910,00","24390,46","940,00"
C000122,suburbana,0,32.05882352941177,Premium,"30840,00","16181,61","560,00"
C000123,suburbana,0,34.473684210526315,Contrato,"26270,00","15534,31",
C000124,suburbana,0,35.36585365853659,Contrato,"26350,00","5799,17","550,00"
C000125,suburbana,1,34.705882352941174,Contrato,"17310,00","4021,70","420,00"
C000126,urbana_premium,0,35.36585365853659,Prepago,"45650,00","7213,81","200,00"
C000127,suburbana,0,35,Premium,"48060,00","12873,42","340,00"
C000128,urbana_premium,0,36.75675675675676,Prepago,"42430,00","4469,43","110,00"
C000129,suburbana,1,35.88235294117647,Premium,"29980,00","8708,64","330,00"
C000130,urbana_premium,0,40,Premium,"47210,00","20007,33","400,00"
C000131,urbana_premium,0,35.3125,Prepago,"18240,00","3955,51","230,00"
C000132,urbana_premium,0,35.714285714285715,Prepago,"32050,00","4199,00","240,00"
C000133,urbana_premium,0,34.44444444444444,Premium,"37300,00","14764,86","310,00"
C000134,suburbana,1,34,Premium,"16400,00","6073,09","410,00"
C000135,urbana_premium,1,32.142857142857146,Premium,"40490,00","13610,50","290,00"
C000136,suburbana,0,32.926829268292686,Prepago,"15600,00","3809,78","600,00"
C000137,urbana_premium,0,32.5,Premium,"48750,00","21770,89","700,00"
C000138,urbana_premium,0,37,Premium,,"28728,97","320,00"
C000139,urbana_premium,0,37.407407407407405,Premium,"35800,00","34109,75","200,00"
C000140,suburbana,1,33.793103448275865,Premium,"38910,00","6475,66","240,00"
C000141,urbana_premium,0,34.6875,Premium,"40300,00","14940,56","230,00"
C000142,urbana_premium,0,33.5,Premium,"45210,00","12115,44","300,00"
C000143,urbana_premium,0,37.36842105263158,Premium,"42270,00","17443,50","-480,00"
C000144,urbana_premium,0,37.64705882352941,Prepago,,"3325,51","390,00"
C000145,urbana_premium,0,34.074074074074076,Premium,"66270,00","21275,86","300,00"
C000146,urbana_premium,0,37.72727272727273,Premium,"59200,00","12258,06","600,00"
C000147,suburbana,0,36.44444444444444,Contrato,"34640,00","7946,97","260,00"
C000148,suburbana,0,33.333333333333336,Contrato,"31420,00","5242,25","370,00"
C000149,suburbana,0,32.857142857142854,Premium,"38760,00","5871,76","150,00"
C000150,suburbana,0,35.357142857142854,Premium,"46330,00","8932,11","530,00"
C000151,urbana_premium,0,35.5,Premium,"74530,00","18650,92","70,00"
C000152,urbana_premium,0,35.2,Premium,"31670,00","14697,17","300,00"
C000153,urbana_premium,0,34.44444444444444,Premium,"55190,00","13828,49","380,00"
C000154,suburbana,0,35,Prepago,"28910,00","4315,75","310,00"
C000155,urbana_premium,0,35.833333333333336,Premium,"21790,00","28088,03","870,00"
C000156,suburbana,0,36.06060606060606,Premium,"39970,00","14782,55","260,00"
C000157,urbana_premium,0,34.76190476190476,Premium,"63970,00","16929,64","-370,00"
C000158,rural,0,33.888888888888886,Prepago,"32640,00","2539,51","410,00"
C000159,rural,0,33.064516129032256,Prepago,"21880,00","4675,74","430,00"
C000160,urbana_premium,0,35.78947368421053,Premium,"43840,00","26711,65","310,00"
C000161,urbana_premium,0,36.666666666666664,Premium,"48880,00","20637,06","170,00"
C000162,urbana_premium,0,35.90909090909091,Premium,"46780,00","13385,65",
C000163,urbana_premium,0,35.21739130434783,Premium,"58870,00","24418,32","250,00"
C000164,suburbana,0,29.545454545454547,Premium,"41470,00","6159,36","480,00"
C000165,suburbana,0,35.833333333333336,Premium,"24340,00","21792,50","210,00"
C000166,suburbana,0,35.45454545454545,Premium,"30090,00","6800,62","400,00"
C000167,urbana_premium,0,37.27272727272727,Premium,"32080,00","25142,71","770,00"
C000168,urbana_premium,0,34.8,Contrato,"40500,00","13547,29","150,00"
C000169,suburbana,1,34.5,Contrato,"15500,00","17044,54","360,00"
C000170,urbana_premium,0,36,Premium,"75170,00","16397,92","300,00"
C000171,urbana_premium,0,35.625,Premium,"29140,00","22264,19","450,00"
C000172,urbana_premium,0,38.38709677419355,Premium,"31980,00","17851,78","240,00"
C000173,urbana_premium,0,34.78260869565217,Premium,"39400,00","12145,29","130,00"
C000174,urbana_premium,0,35.88235294117647,Prepago,"23630,00","8267,30","200,00"
C000175,urbana_premium,0,32.10526315789474,Premium,"34040,00","18837,20","460,00"
C000176,suburbana,0,34.5,Contrato,"31620,00","5191,91","230,00"
C000177,suburbana,0,39.23076923076923,Premium,"53080,00","16004,91","100,00"
C000178,suburbana,0,33.87755102040816,Prepago,"31330,00","4070,30",
C000179,urbana_premium,0,33.333333333333336,Premium,"33210,00","24121,50","200,00"
C000180,rural,0,33.84615384615385,Prepago,"15660,00","3256,94","200,00"
C000181,urbana_premium,0,35.714285714285715,Prepago,"80900,00","4345,24","290,00"
C000182,urbana_premium,0,35,Premium,"39320,00","12315,31","740,00"
C000183,suburbana,1,40.625,Prepago,"30680,00","9494,00","100,00"
C000184,suburbana,0,34.09090909090909,Contrato,"18450,00","8980,68","240,00"
C000185,urbana_premium,0,36.92307692307692,Premium,"45990,00","13734,78","540,00"
C000186,rural,0,35.19230769230769,Premium,"18900,00","8581,08",
C000187,suburbana,0,34.193548387096776,Premium,"49890,00","13231,37","600,00"
C000188,suburbana,0,35.172413793103445,Contrato,"35070,00","4691,28","120,00"
C000189,rural,1,29.09090909090909,Premium,"24250,00","21262,78","280,00"
C000190,urbana_premium,0,37.142857142857146,Premium,"24090,00","23183,50","270,00"
C000191,urbana_premium,0,32.94117647058823,Premium,"36980,00","20534,09","180,00"
C000192,urbana_premium,1,36.5,Premium,"35520,00","10558,64","280,00"
C000193,urbana_premium,0,31.5,Contrato,"39960,00","7789,49","160,00"
C000194,urbana_premium,0,35.833333333333336,Premium,"19210,00","9926,08","240,00"
C000195,urbana_premium,1,30,Premium,"27840,00","43290,60","1200,00"
C000196,urbana_premium,0,33.46153846153846,Premium,"32180,00","26490,86","230,00"
C000197,urbana_premium,0,35.3125,Prepago,"45600,00","7970,14","380,00"
C000198,urbana_premium,0,36.31578947368421,Premium,"19480,00","13750,06","190,00"
C000199,rural,1,32.083333333333336,Premium,"37650,00","7221,59","190,00"
C000200,suburbana,0,34.5945945945946,Prepago,"46040,00","6093,97","170,00"
C000201,urbana_premium,1,30.58823529411765,Premium,"27030,00","23301,75","270,00"
C000202,urbana_premium,0,37.567567567567565,Prepago,"90830,00","4304,63","320,00"
C000203,urbana_premium,0,34.76190476190476,Premium,"41610,00","17152,00","410,00"
C000204,urbana_premium,0,34.4,Premium,"36840,00","15412,39","320,00"
C000205,suburbana,0,34.411764705882355,Premium,"36700,00","15043,91","90,00"
C000206,urbana_premium,0,35.42857142857143,Contrato,"44310,00","10250,89","520,00"
C000207,urbana_premium,0,36,Premium,"39880,00","22525,94","100,00"
C000208,suburbana,0,36.09756097560975,Premium,"20390,00","12553,36","500,00"
C000209,urbana_premium,0,36.06060606060606,Prepago,"32850,00","5969,89","290,00"
C000210,urbana_premium,1,41.666666666666664,Premium,"43380,00","12512,45","440,00"
C000211,suburbana,0,33.333333333333336,Contrato,"39920,00","12863,08","630,00"
C000212,urbana_premium,0,35,Premium,"63350,00","10000,34","660,00"
C000213,rural,1,33.611111111111114,Contrato,"19780,00","9772,16","280,00"
C000214,urbana_premium,0,31.11111111111111,Prepago,"39350,00","4947,97","430,00"
C000215,rural,1,31.818181818181817,Contrato,"18430,00","9807,04","250,00"
C000216,rural,0,33.04347826086956,Contrato,"34040,00","8231,19","250,00"
C000217,urbana_premium,1,37.77777777777778,Prepago,"34320,00","6004,00","220,00"
C000218,urbana_premium,0,32.5,Prepago,,"4982,20","520,00"
C000219,urbana_premium,0,35,Premium,"39120,00","32320,06","480,00"
C000220,suburbana,1,26,Premium,"16600,00","17277,90","510,00"
C000221,urbana_premium,0,32.5,Premium,"46260,00","13783,45","250,00"
C000222,urbana_premium,0,33.93939393939394,Premium,"34340,00","16961,06","520,00"
C000223,rural,1,34.61538461538461,Premium,"61160,00","7125,35","530,00"
C000224,urbana_premium,1,40,Premium,"30830,00","17181,29","150,00"
C000225,urbana_premium,0,36.470588235294116,Prepago,"34860,00","7520,81","850,00"
C000226,urbana_premium,0,36.666666666666664,Premium,"54650,00","26635,50","280,00"
C000227,suburbana,0,34,Premium,"39190,00","8069,33","420,00"
C000228,suburbana,0,34.54545454545455,Premium,"42840,00","11895,05","240,00"
C000229,suburbana,0,33.1578947368421,Prepago,"27030,00","1694,25",
C000230,suburbana,0,32.5,Contrato,"19950,00","14157,51","620,00"
C000231,urbana_premium,0,38.333333333333336,Premium,"97390,00","24264,05","150,00"
C000232,suburbana,0,34.642857142857146,Contrato,"35710,00","7422,22","350,00"
C000233,urbana_premium,0,35.23809523809524,Premium,"41420,00","35907,80","270,00"
C000234,urbana_premium,1,35.2,Prepago,"50750,00","5202,27","60,00"
C000235,urbana_premium,0,34.4,Prepago,"24260,00","3412,19","-430,00"
C000236,urbana_premium,0,36.96969696969697,Prepago,"32620,00","5946,50",
C000237,urbana_premium,1,28.571428571428573,Premium,"26570,00","12208,00","350,00"
C000238,urbana_premium,0,37.391304347826086,Contrato,"40580,00","10161,28","490,00"
C000239,suburbana,0,36.06060606060606,Contrato,"18400,00","7162,62","220,00"
C000240,urbana_premium,0,33.75,Contrato,"48460,00","7770,91","210,00"
C000241,urbana_premium,0,37.333333333333336,Premium,"57920,00","13135,18","610,00"
C000242,urbana_premium,0,36.666666666666664,Premium,"57180,00","12595,09","230,00"
C000243,urbana_premium,0,35.76923076923077,Premium,"44660,00","23524,31","600,00"
C000244,suburbana,0,35.1219512195122,Prepago,"31880,00","2474,34","760,00"
C000245,urbana_premium,1,32.72727272727273,Prepago,"33070,00","8670,85","260,00"
C000246,suburbana,0,35.38461538461539,Premium,"34880,00","13387,03","500,00"
C000247,urbana_premium,1,34.73684210526316,Premium,,"14052,15","670,00"
C000248,suburbana,0,31.071428571428573,Contrato,"15490,00","7670,83","80,00"
C000249,suburbana,0,33.47826086956522,Premium,"24020,00","17516,28","280,00"
C000250,suburbana,0,33.48837209302326,Contrato,"39340,00","9385,32","380,00"
C000251,suburbana,0,36.73076923076923,Prepago,"20100,00","2173,71","360,00"
C000252,suburbana,0,34.285714285714285,Premium,"19960,00","24161,06","410,00"
C000253,suburbana,0,31.53846153846154,Prepago,"27800,00","6681,82","260,00"
C000254,urbana_premium,0,37.5,Contrato,"17920,00","17124,09","260,00"
C000255,urbana_premium,0,35.6,Contrato,"49410,00","8301,88","490,00"
C000256,rural,0,34.08163265306123,Contrato,"29060,00","10752,65","420,00"
C000257,urbana_premium,0,37.82608695652174,Premium,"53320,00","15948,09","60,00"
C000258,suburbana,0,33.87096774193548,Contrato,"32210,00","7097,86","460,00"
C000259,suburbana,0,31.875,Contrato,"22120,00","5042,17","260,00"
C000260,urbana_premium,0,35.3125,Prepago,"24890,00","5360,54","350,00"
C000261,urbana_premium,0,35.38461538461539,Premium,"46420,00","12237,43","120,00"
C000262,urbana_premium,0,32.8,Premium,"49170,00","18434,00","500,00"
C000263,suburbana,0,33.125,Contrato,"20170,00","4567,92","1040,00"
C000264,urbana_premium,1,32.5,Premium,"24710,00","12171,43","140,00"
C000265,urbana_premium,0,36.36363636363637,Premium,"38020,00","20489,46","590,00"
C000266,urbana_premium,0,37.41935483870968,Premium,"40150,00","19096,53","550,00"
C000267,urbana_premium,1,34.285714285714285,Contrato,"53090,00","10647,43","130,00"
C000268,urbana_premium,0,35,Premium,"48260,00","20769,06","280,00"
C000269,urbana_premium,0,36.2962962962963,Premium,"37220,00","24103,51","300,00"
C000270,suburbana,0,35.116279069767444,Prepago,"42830,00","3410,43","260,00"
C000271,rural,1,34.57142857142857,Prepago,"20540,00","2413,81","390,00"
C000272,urbana_premium,1,36,Premium,"34360,00","14521,64","180,00"
C000273,rural,1,32.5,Prepago,"31240,00","6014,80","230,00"
C000274,urbana_premium,0,35.333333333333336,Prepago,"53520,00","3784,76","480,00"
C000275,suburbana,0,34,Prepago,"42060,00","2709,83","50,00"
C000276,suburbana,1,34.705882352941174,Premium,"27990,00","9900,14","530,00"
C000277,suburbana,1,33.125,Contrato,"30570,00","4661,33","130,00"
C000278,urbana_premium,0,38.69565217391305,Premium,"28260,00","24618,63","550,00"
C000279,urbana_premium,0,33.1578947368421,Premium,"52450,00","12484,31","240,00"
C000280,suburbana,1,32.5,Premium,"24240,00","8214,00","220,00"
C000281,suburbana,0,35.36585365853659,Contrato,"14820,00","6650,27","260,00"
C000282,urbana_premium,0,37.93103448275862,Prepago,"32800,00","8344,11","310,00"
C000283,urbana_premium,1,35,Premium,"28370,00","14264,61","260,00"
C000284,urbana_premium,0,33.18181818181818,Premium,"14840,00","9622,26","260,00"
C000285,urbana_premium,0,35.2,Premium,"31320,00","27250,66","510,00"
C000286,suburbana,1,31.57894736842105,Premium,"39200,00","11213,58","170,00"
C000287,suburbana,0,35.357142857142854,Contrato,"34450,00","8769,29","420,00"
C000288,suburbana,0,37.2093023255814,Prepago,"34430,00","2663,75","200,00"
C000289,suburbana,0,33.57142857142857,Premium,"49100,00","8024,09","520,00"
C000290,suburbana,0,33.57142857142857,Premium,"24340,00","6855,06","170,00"
C000291,urbana_premium,0,35.26315789473684,Premium,"25630,00","17452,97",
C000292,rural,0,33.768115942028984,Premium,"27600,00","6272,06","120,00"
C000293,urbana_premium,0,36.15384615384615,Premium,"43370,00","14990,26","250,00"
C000294,suburbana,0,38,Prepago,"19140,00","3003,54","370,00"
C000295,suburbana,1,30,Prepago,"28030,00","4173,42","230,00"
C000296,urbana_premium,0,34.21052631578947,Contrato,"46210,00","13668,43","670,00"
C000297,suburbana,0,31.666666666666668,Contrato,"32820,00","8737,05","190,00"
C000298,urbana_premium,0,38.69565217391305,Premium,"49450,00","23114,14","430,00"
C000299,urbana_premium,0,35.26315789473684,Premium,"30250,00","17752,78","200,00"
C000300,suburbana,0,32.56410256410256,Premium,"18140,00","17722,52","680,00"
C000301,urbana_premium,0,36.666666666666664,Contrato,"27800,00","8463,35","540,00"
C000302,urbana_premium,0,34.375,Premium,"51800,00","23355,78","410,00"
C000303,suburbana,0,35.38461538461539,Premium,"42830,00","6304,76","330,00"
C000304,urbana_premium,0,34.57142857142857,Premium,"36100,00","18191,06","290,00"
C000305,suburbana,0,33.78378378378378,Prepago,"50610,00","5099,49","380,00"
C000306,urbana_premium,0,33.333333333333336,Contrato,"36170,00","13145,66","490,00"
C000307,suburbana,0,34.375,Contrato,"24920,00","4969,54","80,00"
C000308,suburbana,0,35.625,Prepago,"18190,00","2884,19","330,00"
C000309,urbana_premium,0,34.8,Premium,"37280,00","13429,44","140,00"
C000310,urbana_premium,0,35.357142857142854,Premium,"55480,00","24497,67","400,00"
C000311,urbana_premium,0,30.714285714285715,Premium,"59670,00","11142,39","400,00"
C000312,suburbana,0,34.285714285714285,Contrato,"43340,00","4342,67","90,00"
C000313,urbana_premium,0,35.4054054054054,Prepago,"45590,00","7427,73","120,00"
C000314,rural,1,27.5,Prepago,"40600,00","9323,50","210,00"
C000315,rural,0,32.34375,Prepago,"16540,00","2420,27","140,00"
C000316,suburbana,0,32.7906976744186,Contrato,"45130,00","3941,94","70,00"
C000317,suburbana,0,35.12820512820513,Premium,"32890,00","12297,66","130,00"
C000318,suburbana,0,34,Premium,"32090,00","26733,12","580,00"
C000319,urbana_premium,0,35.3125,Premium,"23260,00","17783,89","390,00"
C000320,urbana_premium,0,37.241379310344826,Prepago,"43130,00","4778,28","310,00"
C000321,urbana_premium,0,33.63636363636363,Premium,"57330,00","15026,06","320,00"
C000322,urbana_premium,1,29.09090909090909,Premium,"18170,00","13436,74","230,00"
C000323,suburbana,0,34.75,Prepago,"39380,00","2861,92","90,00"
C000324,suburbana,0,32.82051282051282,Prepago,"13400,00","1902,67","260,00"
C000325,suburbana,0,35,Prepago,"18150,00","2092,39","50,00"
C000326,suburbana,0,34.054054054054056,Prepago,"28840,00","3597,72","230,00"
C000327,urbana_premium,0,32.63157894736842,Premium,"66600,00","12397,09","210,00"
C000328,suburbana,0,35.714285714285715,Contrato,"28500,00","20266,17","120,00"
C000329,suburbana,0,35.75757575757576,Premium,"35140,00","12103,67","450,00"
C000330,urbana_premium,0,36.92307692307692,Premium,"27840,00","16018,00","260,00"
C000331,rural,0,32.76923076923077,Prepago,"21690,00","1553,83","1060,00"
C000332,rural,0,34.90909090909091,Prepago,"22770,00","4413,14","380,00"
C000333,suburbana,0,34.285714285714285,Premium,"52720,00","13789,91","550,00"
C000334,suburbana,0,32.94117647058823,Prepago,"22950,00","7458,43","500,00"
C000335,urbana_premium,0,37.096774193548384,Premium,"30390,00","18116,82","180,00"
C000336,rural,1,31.923076923076923,Prepago,"33840,00","2716,48","290,00"
C000337,suburbana,1,32.5,Premium,"27340,00","14000,03","330,00"
C000338,rural,0,34,Premium,"24150,00","10555,31","150,00"
C000339,suburbana,1,,Premium,"34710,00","17111,00","540,00"
C000340,urbana_premium,0,34.285714285714285,Premium,"30630,00","19477,22","290,00"
C000341,urbana_premium,0,36.111111111111114,Contrato,"18660,00","10876,31","180,00"
C000342,urbana_premium,0,35.9375,Prepago,"55760,00","6254,50","120,00"
C000343,urbana_premium,0,33.87096774193548,Premium,"39860,00","10582,00","820,00"
C000344,urbana_premium,0,38.23529411764706,Premium,"24480,00","16816,49","370,00"
C000345,urbana_premium,0,34.83870967741935,Prepago,"50260,00","5421,58","350,00"
C000346,urbana_premium,0,38.125,Premium,"77330,00","16547,75",
C000347,urbana_premium,0,35.925925925925924,Contrato,"58100,00","10196,69","270,00"
C000348,urbana_premium,0,36.15384615384615,Premium,"79290,00","15389,66","230,00"
C000349,urbana_premium,0,34.48275862068966,Premium,"24910,00","15379,34","200,00"
C000350,suburbana,0,35.25,Premium,"32530,00","13343,39","280,00"
C000351,rural,0,32.8,Prepago,,"3750,92","640,00"
C000352,urbana_premium,0,34.76190476190476,Premium,"36740,00","15326,33","690,00"
C000353,urbana_premium,0,37.05882352941177,Premium,"34130,00","13288,91","420,00"
C000354,urbana_premium,1,30,Premium,"13590,00","15286,40","390,00"
C000355,urbana_premium,0,32.38095238095238,Premium,"69210,00","17830,62","150,00"
C000356,suburbana,1,35.64102564102564,Prepago,"16930,00","3944,07","400,00"
C000357,urbana_premium,0,36.81818181818182,Premium,"52520,00","14063,18","400,00"
